event_ticker,event_title,market_ticker,yes_team_subtitle,no_team_subtitle,status,result,open_time,close_time,occurrence_datetime,settlement_value_dollars,volume,open_interest
KXWCGAME-26JUN29BRAJPN,Brazil vs Japan: Regulation Time Moneyline,KXWCGAME-26JUN29BRAJPN-BRA,Reg Time: Brazil,Reg Time: Brazil,finalized,yes,2026-06-26T14:01:00Z,2026-06-29T19:03:58Z,2026-06-29T20:00:00Z,1.0,13021459.96,6748322.76
KXWCGAME-26JUN29BRAJPN,Brazil vs Japan: Regulation Time Moneyline,KXWCGAME-26JUN29BRAJPN-JPN,Reg Time: Japan,Reg Time: Japan,finalized,no,2026-06-26T14:01:00Z,2026-06-29T19:03:58Z,2026-06-29T20:00:00Z,0.0,5767403.61,3124678.25
KXWCGAME-26JUN29BRAJPN,Brazil vs Japan: Regulation Time Moneyline,KXWCGAME-26JUN29BRAJPN-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-26T14:01:00Z,2026-06-29T19:03:58Z,2026-06-29T20:00:00Z,0.0,4448700.87,1862295.04
KXWCGAME-26JUN28RSACAN,South Africa vs Canada: Regulation Time Moneyline,KXWCGAME-26JUN28RSACAN-RSA,Reg Time: South Africa,Reg Time: South Africa,finalized,no,2026-06-25T03:52:00Z,2026-06-28T20:59:58Z,2026-06-28T22:00:00Z,0.0,4255920.98,2291288.3
KXWCGAME-26JUN28RSACAN,South Africa vs Canada: Regulation Time Moneyline,KXWCGAME-26JUN28RSACAN-CAN,Reg Time: Canada,Reg Time: Canada,finalized,yes,2026-06-25T03:52:00Z,2026-06-28T20:59:58Z,2026-06-28T22:00:00Z,1.0,9409531.87,5113404.46
KXWCGAME-26JUN28RSACAN,South Africa vs Canada: Regulation Time Moneyline,KXWCGAME-26JUN28RSACAN-TIE,Reg Time: Tie,Reg Time: Tie,finalized,no,2026-06-25T03:52:00Z,2026-06-28T20:59:58Z,2026-06-28T22:00:00Z,0.0,4227673.99,1945688.66
KXWCGAME-26JUN27JORARG,Jordan vs Argentina,KXWCGAME-26JUN27JORARG-JOR,Jordan,Jordan,finalized,no,2026-02-04T18:28:00Z,2026-06-28T03:59:48Z,2026-06-28T03:50:18.326Z,0.0,15414222.89,12716615.29
KXWCGAME-26JUN27JORARG,Jordan vs Argentina,KXWCGAME-26JUN27JORARG-ARG,Argentina,Argentina,finalized,yes,2026-02-04T18:28:00Z,2026-06-28T03:59:48Z,2026-06-28T03:50:18.326Z,1.0,16156472.79,9039744.24
KXWCGAME-26JUN27JORARG,Jordan vs Argentina,KXWCGAME-26JUN27JORARG-TIE,Tie,Tie,finalized,no,2026-02-04T18:28:00Z,2026-06-28T03:59:48Z,2026-06-28T03:50:18.326Z,0.0,8911285.04,6449341.52
KXWCGAME-26JUN27DZAAUT,Algeria vs Austria,KXWCGAME-26JUN27DZAAUT-DZA,Algeria,Algeria,finalized,no,2026-02-04T18:28:00Z,2026-06-28T03:59:49Z,2026-06-28T03:49:58.379Z,0.0,21666689.81,10229536.11
KXWCGAME-26JUN27DZAAUT,Algeria vs Austria,KXWCGAME-26JUN27DZAAUT-AUT,Austria,Austria,finalized,no,2026-02-04T18:28:00Z,2026-06-28T03:59:49Z,2026-06-28T03:49:58.379Z,0.0,21595997.38,12006829.8
KXWCGAME-26JUN27DZAAUT,Algeria vs Austria,KXWCGAME-26JUN27DZAAUT-TIE,Tie,Tie,finalized,yes,2026-02-04T18:28:00Z,2026-06-28T03:59:49Z,2026-06-28T03:49:58.379Z,1.0,15810217.02,7718373.16
